"Text";"Code"
"Nevus on scalp or neck";"DD224"
"Nevus on the scalp";"DD224A"
"Nevus on the neck";"DD224B"
"Nevus on the body";"DD225"
"Nevus in the anus";"DD225A"
"Nevus on mom";"DD225B"
"Perianal nevus";"DD225C"
"Nevus on upper extremity";"DD226"
"Nevus on shoulder";"DD226A"
"Nevus on lower extremity";"DD227"
"Nevus on hip";"DD227A"
"Nevus with other location";"DD228"
"Nevus UNS";"DD229"
"Nevus spilus";"DD229Q"
"Other benign tumors of the skin";"DD23"
"Benign tumor of skin on lip";"DD230"
"Benign tumor of eyelid skin";"DD231"
"Benign tumor of skin in corner of eye";"DD231A"
"Benign tumor of skin on ear or in external ear canal";"DD232"
"Benign tumor of skin of ear";"DD232A"
"Benign tumor of skin in external ear canal";"DD232B"
"Benign tumor of skin of face of other or unspecified site";"DD233"
"Benign tumor of skin of scalp or neck";"DD234"
"Benign tumor of skin of scalp";"DD234A"
"Benign tumor of skin on neck";"DD234B"
"Benign tumor of skin of body";"DD235"
"Benign tumor of skin of anus";"DD235A"
"Benign tumor in skin of mother";"DD235B"
"Perianal benign tumor of the skin";"DD235C"
"Benign tumor of skin of upper extremity";"DD236"
"Benign tumor of skin of shoulder";"DD236A"
"Benign tumor of skin of lower extremity";"DD237"
"Benign tumor of skin of hip";"DD237A"
"Benign tumor of the skin UNS";"DD239"
"Benign tumors of the breast";"DD24"
"Benign tumor in mamma UNS";"DD249"
"Fibroadenoma in mother";"DD249A"
"Papilloma ductuli mammae";"DD249C"
"Adenoma in nipple";"DD249D"
"Benign phylloides tumor of breast";"DD249E"
"Harmartom in mom";"DD249F"
"Fibromatosis in mother";"DD249G"
"Other benign tumor of breast";"DD249W"
"Fibromyoma of the uterus";"DD25"
"Submucous fibroid of the uterus";"DD250"
"Submucous fibroid type 0 of the uterus";"DD250A"
"Submucous fibroid type 1 of the uterus";"DD250B"
"Submucous fibroid type 2 of the uterus";"DD250C"
"Intramural fibroid of the uterus";"DD251"
"Subserous fibroid of the uterus";"DD252"
"Fibromyoma of the uterus UNS";"DD259"
"Other benign tumors of the uterus";"DD26"
"Benign tumor of the cervix";"DD260"
"Benign tumor of corpus uteri";"DD261"
"Benign tumor of the uterus of other localization";"DD267"
"Benign tumor of uterus UNS";"DD269"
"Benign tumors of the ovary";"DD27"
"Serous cystadenoma of ovary";"DD270"
"Mucinous cystadenoma of ovary";"DD271"
"Dermoid cyst of ovary";"DD272"
"Other benign tumor of ovary";"DD278"
"Benign tumor of ovary UNS";"DD279"
"Benign neoplasms of other and unspecified female genital organs";"DD28"
"Benign tumor of vulva";"DD280"
"Benign tumor of vagina";"DD281"
"Benign tumor of fallopian tube or uterine ligaments";"DD282"
"Benign tumor of ligamentum lati";"DD282A"
"Benign tumor of ligamentum rotundi";"DD282B"
"Benign tumor of fallopian tube";"DD282C"
"Benign tumor of other female genital organ";"DD287"
"Benign tumor of female genital organ UNS";"DD289"
"Benign tumors of male genital organs";"DD29"
"Benign tumor of penis";"DD290"
"Benign tumor of prostate";"DD291"
"Benign tumor of testicle";"DD292"
"Benign tumor of the epididymis";"DD293"
"Benign tumor of scrotum";"DD294"
"Benign tumor of male genital organs of other localization";"DD297"
"Benign tumor of spermatic cord";"DD297A"
"Benign tumor of the tunica vaginalis";"DD297B"
"Benign tumor of seminal vesicle";"DD297C"
"Benign tumor of male genital organ UNS";"DD299"
"Benign tumors of the kidneys and urinary tract";"DD30"
"Benign tumor of kidney";"DD300"
"Benign tumor of the renal pelvis";"DD301"
"Benign tumor of ureter";"DD302"
"Benign tumor of the urinary bladder";"DD303"
"Benign tumor of the urethra";"DD304"
"Benign tumor of urinary tract of other location";"DD307"
"Benign tumor of kidney or urinary tract UNS";"DD309"
"Benign tumors of the eye and surrounding structures";"DD31"
"Benign tumor of conjunctiva";"DD310"
"Benign tumor of cornea";"DD311"
"Benign tumor of retina";"DD312"
"Benign tumor of the choroid";"DD313"
"Benign tumor of ciliary body";"DD314"
"Benign tumor of lacrimal gland or lacrimal duct";"DD315"
"Benign tumor of tear duct";"DD315A"
"Benign tumor of lacrimal gland";"DD315B"
"Benign tumor of lacrimal sac";"DD315C"
"Benign tumor in eye socket";"DD316"
"Retrobulbar benign tumor";"DD316A"
"Benign tumor of eye UNS";"DD319"
"Benign tumors of the meninges and spinal cord";"DD32"
"Intracranial meningioma";"DD320"
"Intraspinal meningioma";"DD321"
"Opinions about UNS";"DD329"
"Benign tumors of the brain and other parts of the central nervous system";"DD33"
"Supratentorial benign tumor of the brain";"DD330"
"Benign tumor of the frontal lobe of the brain";"DD330A"
"Benign tumor of the occipital lobe of the brain";"DD330B"
"Benign tumor of the cerebral cortex";"DD330C"
"Benign tumor of the temporal lobe of the brain";"DD330D"
"Infratentorial benign brain tumor";"DD331"
"Benign tumor of the cerebellum";"DD331A"
"Benign tumor of the 4th ventricle of the brain";"DD331B"
"Benign brainstem tumor";"DD331C"
"Benign tumor of the pons";"DD331D"
"Benign tumor of the brain UNS";"DD332"
"Benign cranial nerve tumor";"DD333"
"Benign tumor of olfactory bulb";"DD333A"
"Benign tumor of auditory nerve";"DD333B"
"Benign tumor of the spinal cord";"DD334"
"Benign tumor of other part of the central nervous system";"DD337"
"Benign tumor of the central nervous system UNS";"DD339"
"Benign tumors of the thyroid gland";"DD34"
"Benign tumor of thyroid gland UNS";"DD349"
"Benign neoplasms of other and unspecified endocrine glands";"DD35"
"Benign tumor of adrenal gland";"DD350"
"Pheochromocytoma";"DD350A"
"Benign tumor of parathyroid gland";"DD351"
"Benign tumor of the pituitary gland";"DD352"
"Adenoma of the pituitary gland";"DD352A"
"Benign tumor of ductus craniopharyngeus";"DD353"
"Benign tumor of the pineal body";"DD354"
"Benign tumor of glomus caroticum";"DD355"
"Benign tumor of the corpus para-aorticus or other paraganglion";"DD356"
"Benign tumor of para-aortic corpus";"DD356A"
"Benign tumor of paraganglion";"DD356B"
"Benign tumor of glomus jugulare";"DD356C"
"Benign tumor of other endocrine gland";"DD357"
"Neoplasma benignum pluriglandulare";"DD358"
"Benign tumor of endocrine gland UNS";"DD359"
"Benign tumors of other or unspecified site";"DD36"
"Benign tumor of lymph node";"DD360"
"Benign tumor of peripheral nerve or autonomic nervous system";"DD361"
"Benign tumor of peripheral nerve";"DD361A"
"Benign tumor of the autonomic nervous system";"DD361B"
"Benign tumor of other localization";"DD367"
"Castleman disease";"DD367A"
"Benign tumor of unspecified location";"DD369"
"Tumors of uncertain or unknown nature [DD37-DD48]";""
"Tumors of the oral cavity and digestive organs of uncertain and unknown nature";"DD37"
"Unspecified neoplasm of lip, oral cavity or pharynx";"DD370"
"Unspecified neoplasm of oral cavity";"DD370A"
"Unspecified tumor of lip";"DD370B"
"Unspecified tumor of pharynx";"DD370C"
"Unspecified tumor of stomach";"DD371"
"Unspecified tumor of small intestine";"DD372"
"Unspecified tumor of appendix";"DD373"
"Unspecified tumor of the colon";"DD374"
"Unspecified tumor of rectum";"DD375"
"Unspecified neoplasm of liver, gallbladder or biliary tract";"DD376"
"Unspecified tumor of the liver";"DD376A"
"Unspecified tumor of gallbladder";"DD376B"
"Unspecified tumor of biliary tract";"DD376C"
"Unspecified neoplasm of other digestive organ";"DD377"
"Unspecified tumor of anus";"DD377A"
"Unspecified tumor of esophagus";"DD377B"
"Unspecified tumor of pancreas";"DD377C"
"Unspecified tumor of digestive organ UNS";"DD379"
"Tumors of the middle ear, respiratory organs and organs of the thoracic cavity of uncertain and unknown nature";"DD38"
"Unspecified tumor of larynx";"DD380"
"Unspecified neoplasm of trachea, bronchus or lung";"DD381"
"Unspecified tumor of bronchus";"DD381A"
"Unspecified tumor of lung";"DD381B"
"Unspecified tumor of trachea";"DD381C"
"Unspecified tumor of pleura";"DD382"
"Unspecified tumor of mediastinum";"DD383"
"Unspecified tumor of thymus";"DD384"
"Unspecified neoplasm of other respiratory system";"DD385"
"Unspecified tumor of middle ear";"DD385A"
"Unspecified tumor of nasal cartilage";"DD385B"
"Unspecified tumor of nasal cavity";"DD385C"
"Unspecified tumor of sinus";"DD385D"
"Unspecified tumor of respiratory organ or airways UNS";"DD389"
"Tumors of female genital organs of uncertain and unknown nature";"DD39"
"Unspecified tumor of uterus";"DD390"
"Unspecified tumor of ovary";"DD391"
"Borderline ovarian tumor";"DD391A"
"Unspecified tumor of placenta";"DD392"
"Chorioadenoma destruens";"DD392A"
"Mola hydatidosa maligna";"DD392B"
"Unspecified tumor of other sites in female genitalia";"DD397"
"Unspecified skin tumor of female genital organ";"DD397A"
"Unspecified neoplasm of female genital organ UNS";"DD399"
"Tumors of male genital organs of uncertain and unknown nature";"DD40"
"Unspecified tumor of prostate";"DD400"
"Unspecified tumor of testis";"DD401"
"Unspecified tumor of other sites in male genital organ";"DD407"
"Unspecified skin tumor of male genital organ";"DD407A"
"Unspecified neoplasm of male genital organ UNS";"DD409"
"Tumors of kidney and urinary tract of uncertain and unknown nature";"DD41"
"Unspecified tumor of kidney";"DD410"
"Unspecified tumor of renal pelvis";"DD411"
"Unspecified tumor of ureter";"DD412"
"Unspecified tumor of urethra";"DD413"
"Unspecified tumor of urinary bladder";"DD414"
"Unspecified tumor of other sites in urinary tract";"DD417"
"Unspecified tumor of unspecified site in kidney or urinary tract";"DD419"
"Tumors of the meninges of the brain and spinal cord of uncertain and unknown nature";"DD42"
"Unspecified tumor of meninges";"DD420"
"Unspecified tumor of spinal cord";"DD421"
"Unspecified tumor with unspecified location in meninges or spinal cord";"DD429"
"Tumors of brain and cranial nerves of uncertain and unknown nature";"DD43"
"Supratentorial unspecified brain tumor";"DD430"
"Unspecified tumor of the frontal lobe of the brain";"DD430B"
"Unspecified tumor of the occipital lobe of the brain";"DD430C"
"Unspecified tumor of the cerebral cortex";"DD430D"
"Unspecified tumor of the temporal lobe of the brain";"DD430E"
"Unspecified tumor of cerebral ventricle";"DD430F"
"Infratentorial unspecified brain tumor";"DD431"
"Unspecified brain stem tumor";"DD431G"
"Unspecified cerebellar tumor";"DD431H"
"Unspecified tumor of the 4th ventricle of the brain";"DD431J"
"Unspecified tumor of other or unspecified location in brain";"DD432"
"Unspecified cranial nerve tumor";"DD433"
"Unspecified tumor of spinal cord";"DD434"
"Unspecified tumor of other sites in the central nervous system";"DD437"
"Unspecified tumor in unspecified location in the central nervous system";"DD439"
"Tumors of endocrine glands of uncertain and unknown nature";"DD44"
"Unspecified thyroid tumor";"DD440"
"Unspecified tumor of adrenal gland";"DD441"
"Unspecified parathyroid tumor";"DD442"
"Unspecified pituitary tumor";"DD443"
"Unspecified tumor of craniopharyngeal duct";"DD444"
"Unspecified tumor of pineal body";"DD445"
"Unspecified tumor of glomus caroticum";"DD446"
"Unspecified tumor of para-aortic corpus or other paraganglion";"DD447"
"Unspecified tumor of para-aortic corpus";"DD447A"
"Unspecified tumor of other paraganglion";"DD447B"
"Unspecified tumor of multiple endocrine glands";"DD448"
"Multiple endocrine adenomatosis";"DD448A"
"Unspecified tumor of endocrine gland UNS";"DD449"
"Polycythemia vera";"DD45"
"Polycythemia vera";"DD459"
"Myelodysplastic syndromes";"DD46"
"Refractory cytopenia with unilineage dysplasia";"DD460"
"Refractory anemia without sideroblasts";"DD460A"
"Refractory Neutropenia";"DD460B"
"Refractory thrombopenia";"DD460C"
"Refractory anemia with ring sideroblasts";"DD461"
"Refractory anemia with excess blast cells";"DD462"
"Refractory anemia with excess blast cells, RAEB I";"DD462A"
"Refractory anemia with excess blast cells, RAEB II";"DD462B"
"Refractory anemia UNS";"DD464"
"Refractory anemia with multilineage dysplasia";"DD465"
"Myelodysplastic syndrome with isolated del(5q) chromosome abnormality";"DD466"
"Other myelodysplastic syndrome";"DD467"
"Myelodysplastic syndrome UNS";"DD469"
"Other neoplasms of lymphoid and hematopoietic tissue of uncertain and unknown nature";"DD47"
"Histiocytic or mast cell neoplasia of uncertain or unknown nature";"DD470"
"Mast cell tumor UNS";"DD470A"
"Indolent mastocytosis";"DD470B"
"Systemic mastocytosis, associated with clonal hematopoietic non-mast cell disease (SM-AHNMD)";"DD470C"
"Chronic myeloproliferative syndrome";"DD471"
"Myeloproliferative disease UNS";"DD471B"
"Monoclonal gammopathy of undetermined significance (MGUS)";"DD472"
"Monoclonal gammopathy of undetermined significance (MGUS) IgM type";"DD472A"
"Monoclonal gammopathy of undetermined significance (MGUS) non-IGM type";"DD472B"
"Essential thrombocythemia";"DD473"
"Primary and secondary myelofibrosis";"DD474"
"Primary myelofibrosis";"DD474A"
"Secondary myelofibrosis after polycythemia vera";"DD474B"
"Secondary myelofibrosis after essential thrombocytosis";"DD474C"
"Hypereosinophilic syndrome";"DD475"
"Other neoplasia of lymphoid or hematopoietic tissue of uncertain or unknown nature";"DD477"
"Lymphomatoid granulomatosis";"DD477A"
"Early post-transplant lymphoproliferative disease (early PTLD)";"DD477C"
"Lymphomatoid papulosis";"DD477D"
"Neoplasia of lymphoid or hematopoietic tissue of uncertain or unknown nature";"DD479"
"Lymphoproliferative disease UNS";"DD479A"
"Monoclonal B cell lymphocytosis (MBL)";"DD479B"
"Tumors of uncertain and unknown nature with other and unspecified locations";"DD48"
"Unspecified tumor of bone or articular cartilage";"DD480"
"Unspecified tumor of connective tissue or other soft tissue";"DD481"
"Unspecified tumor of peripheral nerve or autonomic nervous system";"DD482"
"Unspecified tumor of parasympathetic ganglion";"DD482A"
"Unspecified tumor of peripheral ganglion";"DD482B"
"Unspecified tumor of sympathetic ganglion";"DD482C"
"Unspecified tumor of autonomic nervous system";"DD482D"
"Unspecified tumor of peripheral nerve";"DD482E"
"Unspecified tumor of retroperitoneum";"DD483"
"Unspecified tumor of peritoneum";"DD484"
"Unspecified neoplasm of the skin";"DD485"
"Unspecified neoplasm of skin of anus";"DD485A"
"Unspecified tumor of skin of breast";"DD485B"
"Unspecified tumor of skin of perineum";"DD485C"
"Unspecified neoplasm of skin of eyelid";"DD485D"
"Unspecified tumor of breast";"DD486"
"Phylloid tumor of breast of uncertain or unknown nature";"DD486A"
"Unspecified tumor of other site";"DD487"
"Unspecified tumor of the heart";"DD487A"
"Unspecified tumor of peripheral nerve in orbit";"DD487B"
"Unspecified tumor of eye UNS";"DD487C"
"Unspecified tumor of mediastinum UNS";"DD487D"
"Tumor of uncertain or unknown nature without further specified location";"DD489"
"Chapter III: Diseases of the blood and blood-forming organs and certain diseases involving the immune system [DD50-DD89]";""
"Nutritional anemias [DD50-DD53]";""
"Iron deficiency anemia";"DD50"
"Chronic hemorrhagic anemia";"DD500"
"Iron deficiency anemia caused by iron malabsorption";"DD501"
"Plummer-Vinson syndrome";"DD501A"
"Iron deficiency anemia of other causes";"DD508"
"Iron deficiency anemia caused by insufficient iron intake";"DD508A"
"Iron deficiency anemia UNS";"DD509"
"Hypochromic anemia UNS";"DD509A"
"Anemia caused by vitamin B12 deficiency";"DD51"
"Anemia caused by vitamin B12 deficiency due to intrinsic factor deficiency";"DD510"
"Anemia caused by malabsorption of vitamin B12 with proteinuria";"DD511"
"Hereditary megaloblastic anemia";"DD511A"
"Anemia caused by transcobalamin II deficiency";"DD512"
"Other anemia due to nutritional deficiency of vitamin B12";"DD513"
"Veganemia";"DD513A"
"Other anemia due to vitamin B12 deficiency";"DD518"
"Anemia caused by vitamin B12 deficiency UNS";"DD519"
"Anemia caused by folic acid deficiency";"DD52"
"Anemia caused by nutritional folic acid deficiency";"DD520"
"Anemia caused by drug-induced folic acid deficiency";"DD521"
"Other anemia due to folic acid deficiency";"DD528"
"Anemia caused by folic acid deficiency UNS";"DD529"
"Other nutritional anemias";"DD53"
"Protein deficiency anemia";"DD530"
"Other megaloblastic anemia IKA";"DD531"
"Megaloblastic anemia UNS";"DD531A"
"Anemia caused by vitamin C deficiency";"DD532"
"Other nutritional anemia";"DD538"
"Anemia caused by copper deficiency";"DD538A"
"Anemia caused by molybdenum deficiency";"DD538B"
"Anemia caused by zinc deficiency";"DD538C"
"Anemia due to malabsorption after previous surgery UNS";"DD538M"
"Nutritional anemia UNS";"DD539"
"Hemolytic anemias [DD55-DD59]";""
"Anemia caused by enzymatic disorders";"DD55"
"Anemia caused by glucose-6-phosphate dehydrogenase deficiency";"DD550"
"Anemia due to other disorder of glutathione metabolism";"DD551"
"Anemia caused by disorders of glycolytic enzymes";"DD552"
"Anemia caused by disorders of nucleotide metabolism";"DD553"
"Other anemia due to enzymatic disorder";"DD558"
"Anemia due to enzymatic disorder UNS";"DD559"
"Thalassemias";"DD56"
"Alpha thalassemia";"DD560"
"Beta-thalassemia";"DD561"
"Thalassemia major";"DD561A"
"Thalassemia intermedia";"DD561C"
"Delta-beta Thalassemia";"DD562"
"Thalassemia minor";"DD563"
"Hereditary persistent fetal hemoglobin (HPFH)";"DD564"
"Other form of thalassemia";"DD568"
"Thalassemia UNS";"DD569"
"Sickle cell disease";"DD57"
"Sickle cell anemia with crisis";"DD570"
"Sickle cell anemia without crisis";"DD571"
"Double heterozygous sickle cell anemia";"DD572"
"Hb-SC disease";"DD572A"
"Hb-SD disease";"DD572B"
"Hb-SE disease";"DD572C"
"Sickle cell thalassemia";"DD572D"
"Heterozygous hemoglobin S";"DD573"
"Other form of sickle cell disease";"DD578"
"Other hereditary hemolytic anemias";"DD58"
"Hereditary hemolytic anemia caused by spherocytosis";"DD580"
"Hereditary hemolytic anemia caused by elliptocytosis";"DD581"
"Congenital elliptocytosis";"DD581A"
"Other hemoglobinopathy";"DD582"
"Abnormal hemoglobin UNS";"DD582A"
"Congenital Heinz Body anemia";"DD582B"
"Hb-C disease";"DD582C"
"Hb-D disease";"DD582D"
"Hb-E disease";"DD582E"
"Other hereditary hemolytic anemia";"DD588"
"Stomatocytosis";"DD588A"
"Hereditary hemolytic anemia UNS";"DD589"
"Acquired hemolytic anemias";"DD59"
"Drug-induced autoimmune hemolytic anemia";"DD590"
"Other autoimmune hemolytic anemia";"DD591"
"Cold agglutinin syndrome";"DD591A"
"Drug-induced non-autoimmune hemolytic anemia";"DD592"
"Hemolytic-uremic syndrome";"DD593"
"Other hemolytic non-autoimmune anemia";"DD594"
"Mechanical hemolytic anemia";"DD594A"
"Microangiopathic hemolytic anemia";"DD594B"
"Toxic hemolytic anemia";"DD594C"
"Paroxysmal nocturnal hemoglobinuria";"DD595"
"Hemoglobinuria due to hemolysis due to other external cause";"DD596"
"Cold Hemoglobinuria";"DD596A"
"March hemoglobinuria";"DD596B"
"Other acquired hemolytic anemia";"DD598"
"Acquired hemolytic anemia UNS";"DD599"
"Idiopathic (chronic) hemolytic anemia";"DD599A"
"Aplastic and other anemias [DD60-DD64]";""
"Acquired pure red cell aplasia";"DD60"
"Chronic acquired pure red cell aplasia";"DD600"
"Transient acquired pure red cell aplasia";"DD601"
"Other acquired pure red cell aplasia";"DD608"
"Acquired pure red cell aplasia UNS";"DD609"
"Other aplastic anemias";"DD61"
"Constitutional aplastic anemia";"DD610"
"Blackfan-Diamond syndrome";"DD610A"
"Fanconi anemia";"DD610B"
"Pancytopenia with malformations";"DD610C"
"Familial hypoplastic anemia";"DD610D"
"Pure red cell aplasia in infancy (congenital)(primary)";"DD610E"
"Drug-induced aplastic anemia";"DD611"
"Aplastic anemia due to other external influences";"DD612"
"Idiopathic aplastic anemia";"DD613"
"Other aplastic anemia";"DD618"
"Aplastic anemia UNS";"DD619"
"Pancytopenia UNS";"DD619A"
"Hypoplastic anemia UNS";"DD619B"
"Medullary hypoplasia";"DD619C"
"Panmyelophthisis";"DD619D"
"Acute anemia after bleeding";"DD62"
"Acute hemorrhagic anemia UNS";"DD629"
"Anemia of chronic diseases classified elsewhere";"DD63"
"Anemia in neoplastic disease";"DD630"
"Anemia in other chronic diseases classified elsewhere";"DD638"
"Other anemias";"DD64"
"Hereditary sideroblastic anemia";"DD640"
"Sex-linked hypochromic sideroblastic anemia";"DD640A"
"Secondary sideroblastic anemia caused by other disease";"DD641"
"Secondary sideroblastic anemia caused by drug or toxin";"DD642"
"Other sideroblastic anemia";"DD643"
"Sideroblastic anemia UNS";"DD643A"
"Congenital dyserythropoietic anemia";"DD644"
"Other anemia";"DD648"
"Leukoerythroblastic anemia";"DD648A"
"Infantile Pseudoleukemia";"DD648B"
"Anemia UNS";"DD649"
"Coagulation defects, purpura and other hemorrhagic conditions [DD65-DD69]";""
"Disseminated intravascular coagulation";"DD65"
"Disseminated intravascular coagulation";"DD659"
"Acquired afibrinogenemia";"DD659A"
"Acquired fibrinolytic hemorrhage";"DD659B"
"Fibrinolytic purpura";"DD659C"
"Purpura fulminans";"DD659D"
"Hereditary Factor VIII Deficiency";"DD66"
"Hemophilia A";"DD669"
"Hemophilia A, symptomatic in female carrier";"DD669B"
"Hemophilia A mild";"DD669C"
"Hemophilia A moderate";"DD669D"
"Hemophilia A severe";"DD669E"
"Hereditary Factor IX Deficiency";"DD67"
"Hemophilia B";"DD679"
"Hemophilia B, symptomatic in female carrier";"DD679A"
"Hemophilia B mild";"DD679B"
"Hemophilia B moderate";"DD679C"
"Hemophilia B severe";"DD679D"
"Other coagulation defects";"DD68"
"von Willebrand's disease";"DD680"
"von Willebrand disease type 1";"DD680A"
"von Willebrand disease type 2";"DD680B"
"von Willebrand disease type 2A";"DD680B1"
"von Willebrand disease type 2B";"DD680B2"
"von Willebrand disease type 2M";"DD680B3"
"von Willebrand disease type 2N";"DD680B4"
"von Willebrand disease type 3";"DD680C"
"Hereditary factor XI deficiency";"DD681"
"Inherited deficiency of other coagulation factors";"DD682"
"Congenital afibrinogenemia";"DD682A"
"Bleeding disorder caused by circulating anticoagulants";"DD683"
"Hyperheparinemia";"DD683A"
"Acquired coagulation factor deficiency";"DD684"
"Acquired coagulation factor deficiency in hypoprothrombinemia";"DD684A"
"Acquired coagulation factor deficiency caused by vitamin K deficiency";"DD684B"
"Acquired coagulation factor deficiency caused by liver disease";"DD684C"
"Primary thrombophilia";"DD685"
"Coagulation factor V Leiden mutation bp 1691 (heterozygous)";"DD685A"
"Coagulation factor V Leiden mutation bp 1691 (homozygous)";"DD685B"
"Prothrombin, mutation bp 20210 (heterozygous)";"DD685E"
"Prothrombin, mutation bp 20210 (homozygous)";"DD685F"
"Protein C deficiency";"DD685K"
"Protein S deficiency";"DD685L"
"Antithrombin III deficiency";"DD685M"
"Other thrombophilia";"DD686"
"Cardiolipin antibody syndrome";"DD686E"
"Antiphospholipid syndrome";"DD686F"
"Vaccine-induced immune thrombotic thrombocytopenia (VITT)";"DD686G"
"Other coagulation defect";"DD688"
"Coagulation defect UNS";"DD689"
"Purpura and other conditions with bleeding tendency";"DD69"
"Allergic purpura";"DD690"
"Purpura anaphylactica";"DD690A"
"Schönlein-Henoch's purpura";"DD690B"
"Purpura non thrombocytopenica haemorrhagica";"DD690C"
"Purpura non thrombocytopenica idiopathica";"DD690D"
"Purpura vascularis";"DD690E"
"Allergic vasculitis";"DD690F"
"Platelet defects";"DD691"
"Bernard-Soulier syndrome";"DD691A"
"Glanzmann's thrombasthenia";"DD691B"
"Thrombasthenia (hemorrhagic) (hereditary)";"DD691C"
"Other purpura without platelet deficiency or defect";"DD692"
"Senile purpura";"DD692B"
"Purpura simplex";"DD692C"
"Purpura UNS";"DD692D"
"Purpura annularis telangiectodes";"DD692E"
"Gardner-Diamond syndrome";"DD692F"
"Purpura hyperglobulinaemica";"DD692H"
"Idiopathic thrombocytopenic purpura";"DD693"
"Other primary thrombocytopenia";"DD694"
"Fetal and neonatal alloimmune thrombocytopenia (FNAIT)";"DD694A"
"Secondary thrombocytopenia";"DD695"
"Thrombocytopenia UNS";"DD696"
"Other bleeding disorder";"DD698"
"Capillaris fragility (hereditary)";"DD698A"
"Vascular pseudohemophilia";"DD698B"
"Bleeding tendency UNS";"DD699"
"Other diseases of the blood and blood-forming organs [DD70-DD77]";""
"Neutropenia";"DD70"
"Neutropenia UNS";"DD709"
"Drug-induced neutropenia and agranulocytosis";"DD709A"
"Toxic neutropenia";"DD709B"
"Congenital neutropenia";"DD709C"
"Cyclic neutropenia";"DD709D"
"Neutropenic splenomegaly";"DD709E"
"Functional disorders in polymorphonuclear neutrophil cells";"DD71"
"Functional disorders in polymorphonuclear neutrophil cells UNS";"DD719"
"Congenital dysphagocytosis";"DD719A"
"Progressive septic granulomatosis";"DD719B"
"Chronic granulomatous disease in children";"DD719C"
"Defect in cell membrane receptor complex (CR3)";"DD719D"
"Other white blood cell disorders";"DD72"
"Genetically determined leukocyte anomaly";"DD720"
"Alder's anomaly";"DD720A"
"Hereditary leukocyte hypersegmentation";"DD720B"
"Hereditary leukocyte hyposegmentation";"DD720C"
"Hereditary leukomelanopathy";"DD720D"
"May-Hegglin anomaly";"DD720E"
"Pelger-Huët anomaly";"DD720F"
"Eosinophilia";"DD721"
"Allergic eosinophilia";"DD721A"
"Hereditary Eosinophilia";"DD721B"
"Other white blood cell disorder";"DD728"
"Leukocytosis";"DD728A"
"Leukemoid reaction";"DD728B"
"Lymphocytosis (symptomatic)";"DD728C"
"Lymphopenia";"DD728D"
"Monocytosis (symptomatic)";"DD728E"
"Plasmocytosis";"DD728F"
"Pseudolymphoma";"DD728G"
"Leukopenia";"DD728H"
"White blood cell disease UNS";"DD729"
"Diseases of the spleen";"DD73"
"Reduced spleen function";"DD730"
"Atrophy of the spleen";"DD730A"
"Acquired deficiency of the spleen";"DD730B"
"Increased spleen function";"DD731"
"Chronic stasis spleen";"DD732"
"Splenic abscess";"DD733"
"Splenic cyst";"DD734"
"Splenic infarction";"DD735"
"Spontaneous splenic rupture";"DD735A"
"Splenic torsion";"DD735B"
"Other disease of the spleen";"DD738"
"Splenic fibrosis";"DD738A"
"Perisplenitis";"DD738C"
"Splenitis UNS";"DD738D"
"Disease of the spleen UNS";"DD739"
"Methemoglobinemia";"DD74"
"Congenital methemoglobinemia";"DD740"
"Congenital methemoglobin reductase deficiency";"DD740A"
"Hemoglobin-M (Hb-M) disease";"DD740B"
"Other methemoglobinemia";"DD748"
"Acquired methemoglobinemia";"DD748A"
"Toxic methemoglobinemia";"DD748B"
"Sulfhaemoglobinemia";"DD748C"
"Methemoglobinemia UNS";"DD749"
"Other diseases of the blood and blood-forming organs";"DD75"
"Familial polycythemia";"DD750"
"Secondary polycythemia";"DD751"
"Altitude-related polycythemia";"DD751C"
"Erythropoietin-induced polycythemia";"DD751D"
"Hypoxic polycythemia";"DD751E"
"Secondary erythrocytosis";"DD751F"
"Secondary thrombocytosis";"DD751G"
"Secondary leukocytosis";"DD751H"
"Other disease of blood or blood-forming tissue";"DD758"
"Idiopathic cytopenia of unknown significance (ICUS)";"DD758C"
"Clonal cytopenia of unknown significance (CCUS)";"DD758D"
"Disease of blood or blood-forming tissue UNS";"DD759"
"Other diseases involving lymphoreticular and reticulohistiocytic tissues";"DD76"
"Hemophagocytic lymphohistiocytosis";"DD761"
"Familial hemophagocytic reticulosis";"DD761A"
"Hemophagocytic syndrome, infection-associated";"DD762"
"Other histiocytic syndrome";"DD763"
"Reticulohistocytoma (gigantocellular)";"DD763A"
"Xanthogranuloma";"DD763B"
"Sinus histiocytosis with massive lymphadenopathy";"DD763D"
"Other disorders of the blood and blood-forming organs in diseases classified elsewhere";"DD77"
"Disease of blood and blood-forming organs in diseases classified elsewhere";"DD779"
"Fibrosis of spleen in diseases classified elsewhere";"DD779A"
"Certain disorders of the immune system [DD80-DD89]";""
"Immune deficiency with predominant antibody deficiency";"DD80"
"Hereditary hypogammaglobulinemia";"DD800"
"Autosomal recessive agammaglobulinemia (Swiss type)";"DD800A"
"X-linked agammaglobulinemia with growth hormone deficiency";"DD800B"
"Non-familial hypogammaglobulinemia";"DD801"
"Hypogammaglobulinemia UNS";"DD801A"
"Agammaglobulinemia with immunoglobulin-bearing B lymphocytes";"DD801B"
"Common variable agammaglobulinemia (CVA-gamma)";"DD801C"
"Selective IgA deficiency";"DD802"
